Area,FIPS Code,2014,2015,2016,2017,2018
Acadia,22001,10.2,8.8,11,10.1,10
Allen,22003,8,9.4,8.6,10.5,8.5
Ascension,22005,9.4,10,9.7,10.1,10.6
Assumption,22007,11,9.4,9.8,9.2,11.1
Avoyelles,22009,10.6,10.2,9.4,10.4,10.2
Beauregard,22011,9.6,8,8.8,9.5,9.8
Bienville,22013,9.5,9.3,9.7,10.2,8.8
Bossier,22015,10.3,10.2,10.4,10.1,9.5
Caddo,22017,10.2,10.5,10.6,11.4,11.9
Calcasieu,22019,10,10,10.6,10.3,11.1
Caldwell,22021,8.6,8.5,8.5,8.2,8.4
Cameron,22023,7.3,7.9,8.5,8.4,7.4
Catahoula,22025,7.9,7.6,8.9,8.2,8.5
Claiborne,22027,7.9,10,11.2,11.5,11.4
Concordia,22029,9.7,10.3,9.5,10.1,10.4
DE SOTO  ,22031,9.1,8.7,8.4,9,9.3
East Baton Rouge,22033,10.9,10.9,11.3,11.4,11.6
East Carroll,22035,11.4,9,9.8,9.1,8.6
East Feliciana,22037,11,9.6,10.2,8.7,9.1
Evangeline,22039,8.9,8.6,10,10.3,9.6
Franklin,22041,9.6,10.5,9.6,10.6,9
Grant,22043,8.4,9.5,8.5,9.1,7.8
Iberia,22045,10.4,10.7,9.8,10.3,10.9
Iberville,22047,9.3,8.8,8.6,9.3,10.4
Jackson,22049,9,10.5,9.3,8.2,7.7
Jefferson,22051,9.9,11.1,10.7,11.9,11.6
Jefferson Davis,22053,10.4,9.2,9.6,9.9,9
Lafayette,22055,9.6,10.1,9.9,9.2,11.3
Lafourche,22057,8.8,10.3,9.6,10,11.6
LASALLE  ,22059,8.8,9.8,9.8,10.1,9
Lincoln,22061,8.9,9.1,9.2,9.5,9.3
Livingston,22063,10.7,10,9.5,9,8.3
Madison,22065,9,9.6,9.9,10.5,9.6
Morehouse,22067,10.7,9.2,10,10.7,8.9
Natchitoches,22069,9.6,9.4,8.8,10.8,11.7
Orleans,22071,11.1,11.1,11,10.7,10.6
Ouachita,22073,10.3,11.3,11.3,12.2,12.3
Plaquemines,22075,7.5,7.5,12.5,12.6,11.1
Pointe Coupee,22077,7.2,7,7.7,7.6,9.5
Rapides,22079,11.4,10.7,10.4,12.8,13.5
Red River,22081,9.7,8.4,8.3,7.4,7.6
Richland,22083,9.8,10.4,11,11.9,10.3
Sabine,22085,8.8,8.2,9.8,8.5,8.6
St. Bernard,22087,12.8,12.9,12.1,11.5,9.7
St. Charles,22089,9.1,8.2,8.9,7.1,9.1
St. Helena,22091,11.1,9.2,8.9,7.7,8.1
St. James,22093,9.7,9,9.1,7.8,8.6
St. John the Baptist,22095,10.1,9.5,8.9,7.9,10.5
St. Landry,22097,10.2,10.7,10.2,10,11.4
St. Martin,22099,7.4,9.3,10.3,10.8,9.5
St. Mary,22101,10.4,9.5,10.5,11.6,11.7
St. Tammany,22103,7.4,7.7,8.7,9.4,10.1
Tangipahoa,22105,9.8,9.2,8.4,8.7,11.2
Tensas,22107,9.1,10.2,9.5,9.2,8.8
Terrebonne,22109,10.1,11.1,10.6,10.8,11.2
Union,22111,9.9,8.3,9.4,10.7,10.8
Vermilion,22113,8.6,8,8.5,8.1,7.8
Vernon,22115,12.2,12.6,12.3,11.4,11.8
Washington,22117,11.5,14.4,12.4,16.1,15.1
Webster,22119,8.1,8.7,8.9,9.1,10.6
West Baton Rouge,22121,10,9,9.5,7.9,9.5
West Carroll,22123,10.2,10,9.4,9,8.5
West Feliciana,22125,8,7.4,8.6,7.3,7.8
Winn,22127,9,8.9,11.3,11,9.5
